tweet_id,text,expanded_urls,name,source_name,source_url,rating_numerator,rating_denominator,date,time,dog_stage,retweet_count,favorite_count,jpg_url,number_of_images,prediction_1,prediction_1_confidence,prediction_1_dog,prediction_2,prediction_2_confidence,prediction_2_dog,prediction_3,prediction_3_confidence,prediction_3_dog
892420643555336193,This is Phineas. He's a mystical boy. Only ever appears in the hole of a donut. 13/10 ,https://twitter.com/dog_rates/status/668623201287675904/photo/1,Phineas,Twitter for iPhone,http://twitter.com/download/iphone,13.0,10.0,2015-11-15,2022-07-04 22:32:08,,7009,33815,https://pbs.twimg.com/media/DGKD1-bXoAAIAUK.jpg,1,orange,0.0970486,False,bagel,0.0858511,False,banana,0.07611,False
892177421306343426,"This is Tilly. She's just checking pup on you. Hopes you're doing ok. If not, she's available for pats, snugs, boops, the whole bit. 13/10 ",https://twitter.com/dog_rates/status/668623201287675904/photo/1,Tilly,Twitter for iPhone,http://twitter.com/download/iphone,13.0,10.0,2015-11-15,2022-07-04 22:32:08,,5302,29320,https://pbs.twimg.com/media/DGGmoV4XsAAUL6n.jpg,1,Chihuahua,0.323581,True,Pekinese,0.0906465,True,papillon,0.0689569,True
891815181378084864,This is Archie. He is a rare Norwegian Pouncing Corgo. Lives in the tall grass. You never know when one may strike. 12/10 ,https://twitter.com/dog_rates/status/668623201287675904/photo/1,Archie,Twitter for iPhone,http://twitter.com/download/iphone,12.0,10.0,2015-11-15,2022-07-04 22:32:08,,3481,22050,https://pbs.twimg.com/media/DGBdLU1WsAANxJ9.jpg,1,Chihuahua,0.716012,True,malamute,0.078253,True,kelpie,0.0313789,True
891689557279858688,This is Darla. She commenced a snooze mid meal. 13/10 happens to the best of us ,https://twitter.com/dog_rates/status/668623201287675904/photo/1,Darla,Twitter for iPhone,http://twitter.com/download/iphone,13.0,10.0,2015-11-15,2022-07-04 22:32:08,,7219,36903,https://pbs.twimg.com/media/DF_q7IAWsAEuuN8.jpg,1,paper_towel,0.1702779999999999,False,Labrador_retriever,0.1680859999999999,True,spatula,0.0408359,False
891327558926688256,"This is Franklin. He would like you to stop calling him ""cute."" He is a very fierce shark and should be respected as such. 12/10 ",https://twitter.com/dog_rates/status/668623201287675904/photo/1,Franklin,Twitter for iPhone,http://twitter.com/download/iphone,12.0,10.0,2015-11-15,2022-07-04 22:32:08,,7762,35311,https://pbs.twimg.com/media/DF6hr6BUMAAzZgT.jpg,2,basset,0.555712,True,English_springer,0.2257699999999999,True,German_short-haired_pointer,0.175219,True
891087950875897856,Here we have a majestic great white breaching off South Africa's coast. Absolutely h*ckin breathtaking. 13/10 (IG: tucker_marlo) ,https://twitter.com/dog_rates/status/668623201287675904/photo/1,None,Twitter for iPhone,http://twitter.com/download/iphone,13.0,10.0,2015-11-15,2022-07-04 22:32:08,,2602,17815,https://pbs.twimg.com/media/DF3HwyEWsAABqE6.jpg,1,Chesapeake_Bay_retriever,0.425595,True,Irish_terrier,0.116317,True,Indian_elephant,0.0769021999999999,False
890971913173991426,"Meet Jax. He enjoys ice cream so much he gets nervous around it. 13/10 help Jax enjoy more things by clicking below

 ",https://twitter.com/dog_rates/status/668623201287675904/photo/1,Jax,Twitter for iPhone,http://twitter.com/download/iphone,13.0,10.0,2015-11-15,2022-07-04 22:32:08,,1664,10367,https://pbs.twimg.com/media/DF1eOmZXUAALUcq.jpg,1,Appenzeller,0.341703,True,Border_collie,0.199287,True,ice_lolly,0.193548,False
890729181411237888,When you watch your owner call another dog a good boy but then they turn back to you and say you're a great boy. 13/10 ,https://twitter.com/dog_rates/status/668623201287675904/photo/1,None,Twitter for iPhone,http://twitter.com/download/iphone,13.0,10.0,2015-11-15,2022-07-04 22:32:08,,15756,56878,https://pbs.twimg.com/media/DFyBahAVwAAhUTd.jpg,2,Pomeranian,0.566142,True,Eskimo_dog,0.1784059999999999,True,Pembroke,0.0765069,True
890609185150312448,This is Zoey. She doesn't want to be one of the scary sharks. Just wants to be a snuggly pettable boatpet. 13/10 ,https://twitter.com/dog_rates/status/668623201287675904/photo/1,Zoey,Twitter for iPhone,http://twitter.com/download/iphone,13.0,10.0,2015-11-15,2022-07-04 22:32:08,,3622,24528,https://pbs.twimg.com/media/DFwUU__XcAEpyXI.jpg,1,Irish_terrier,0.4875739999999999,True,Irish_setter,0.193054,True,Chesapeake_Bay_retriever,0.118184,True
890240255349198849,This is Cassie. She is a college pup. Studying international doggo communication and stick theory. 14/10 so elegant much sophisticate ,https://twitter.com/dog_rates/status/668623201287675904/photo/1,Cassie,Twitter for iPhone,http://twitter.com/download/iphone,14.0,10.0,2015-11-15,2022-07-04 22:32:08,doggo,6101,27964,https://pbs.twimg.com/media/DFrEyVuW0AAO3t9.jpg,1,Pembroke,0.511319,True,Cardigan,0.451038,True,Chihuahua,0.0292482,True
